31|Gabriel Green|1|0|0|0|0|4.1|2||Colorado|col|14037449|0|0|0|0|sjs|20.02.2011|
32|Richard Groves|1|1|0|1|0|5.0|4||Colorado|col|13440081|1|0|2|0|sjs|20.02.2011|
33|Robert Schwarz|1|0|0|0|0|4.2|5||Colorado|col|17167699|0|0|0|0|sjs|20.02.2011|
34|Martin Nováček|1|1|3|4|1|8.5|4||Colorado|col|16213283|1|0|0|0|sjs|20.02.2011|
35|Potap Borisov|1|1|1|2|1|6.6|5||Colorado|col|17633934|0|0|2|0|sjs|20.02.2011|
36|Martin Demeš|1|1|0|1|1|5.5|2||Colorado|col|17129434|0|0|2|0|sjs|20.02.2011|
37|Joonas Vuorisalmi|1|0|0|0|-1|3.7|1||Colorado|col|17101176|0|0|0|0|sjs|20.02.2011|
38|Jakub Chytil|1|0|1|1|-1|4.7|2||Colorado|col|20111575|0|0|0|0|sjs|20.02.2011|
39|Karol Turba|1|1|1|2|-1|5.6|3||Colorado|col|20206284|1|0|2|0|sjs|20.02.2011|
40|Artúr Ivanov|1|0|0|0|0|4.2|2||Colorado|col|17158103|0|0|0|0|sjs|20.02.2011|
41|David Sýkora|1|0|0|0|0|4.0|4||Colorado|col|17311961|0|0|2|0|sjs|20.02.2011|
42|Jan Švec|1|0|1|1|1|5.6|2||Colorado|col|11996821|0|0|0|0|sjs|20.02.2011|
43|Rastislav Jankulár|1|0|0|0|1|4.7|2||Colorado|col|16235623|0|0|0|0|sjs|20.02.2011|
44|Eduard Kanareykin|1|1|0|1|-1|4.7|1||Colorado|col|17513436|0|0|0|0|sjs|20.02.2011|
45|Mārtiņš Alksnis|1|0|1|1|-1|4.6|0||Colorado|col|14465326|0|0|2|0|sjs|20.02.2011|
46|Enrico Cantini|1|2|1|3|4|9.0|4||St. Louis|stl|12658149|0|0|2|1|phx|20.02.2011|
47|Drago Pulitika|1|3|2|5|4|11.0|3||St. Louis|stl|13379998|1|0|0|2|phx|20.02.2011|
48|Kirill Semenov|1|1|2|3|4|9.0|2||St. Louis|stl|12897903|1|0|0|1|phx|20.02.2011|
49|Haralds Rodiņš|1|0|0|0|1|4.7|1||St. Louis|stl|14039830|0|0|2|0|phx|20.02.2011|
50|Marek Souček|1|0|0|0|1|4.6|2||St. Louis|stl|11925396|0|0|0|0|phx|20.02.2011|
51|Gustav Josefsson|1|0|3|3|1|7.6|4||St. Louis|stl|11049845|0|0|0|0|phx|20.02.2011|
52|Antti Stenholm|1|0|0|0|0|4.2|2||St. Louis|stl|16612577|0|0|0|0|phx|20.02.2011|
53|Kristaps Dzenis|1|0|0|0|0|4.1|2||St. Louis|stl|11226363|0|0|0|0|phx|20.02.2011|
54|Carsten Pauly|1|0|0|0|0|4.1|1||St. Louis|stl|15184438|0|0|0|0|phx|20.02.2011|
55|Konstantin Davidov|1|0|0|0|4|6.1|3||St. Louis|stl|13456390|0|0|0|0|phx|20.02.2011|
56|David Alejandro Quintana|1|0|0|0|4|6.1|2||St. Louis|stl|13194092|0|0|2|0|phx|20.02.2011|
57|Filip Harant|1|0|0|0|1|4.7|5||St. Louis|stl|13404768|0|0|0|0|phx|20.02.2011|
58|Julián Jiménez|1|1|0|1|1|5.7|6||St. Louis|stl|16241661|0|0|0|0|phx|20.02.2011|
