Ottawa Senators©=GOAL|Toronto Maple Leafs=G_ALLOWED|Protiútoky gól po obstojnej nahrávke - --Jakub Štěpán - 1:0 !!--(Zianon  Kaviarnia, Radek Bednařík)
Boston Bruins ®=GOAL|Buffalo Sabres=G_ALLOWED|Protiútoky gól po geniálnej nahrávke - --Tomáš Rada - 4:0 !!--(Marek Kurka, Fedor Šimkáč)
Boston Bruins ®=GOAL|Buffalo Sabres=G_ALLOWED|gól po geniálnej nahrávke - --Fedot Avdonov - 5:0 !!--(Mārtiņš Heinsons)
Boston Bruins ®=PIM|Buffalo Sabres=POWERPLAY|vylúčenie hráča - Mārtiņš Heinsons4 proti 5
Boston Bruins ®=GOAL|Buffalo Sabres=G_ALLOWED|gól po geniálnej nahrávke - --Ingo Jennebach - 6:0 !!--(Marek Kurka)
Boston Bruins ®=GOAL|Buffalo Sabres=G_ALLOWED|Nahrávky spoza brány Dorážka, gól po šikovnej nahrávke - --Nicu Ţuică - 7:0 !!--(Petr Horníček, Gareth Tiler)
Buffalo Sabres=PIM|Boston Bruins ®=POWERPLAY|vylúčenie hráča - Radim Žoldák4 proti 5
Boston Bruins ®=GOAL|Buffalo Sabres=G_ALLOWED|--Nicu Ţuică - 8:0 !!--PP!! --(Marek Kurka)
Boston Bruins ®=GOAL|Buffalo Sabres=G_ALLOWED|--Yrjö Schwartz - 9:0 !!--(Marek Kurka)
Buffalo Sabres=PIM|Boston Bruins ®=POWERPLAY|vylúčenie hráča - Klement Coufal4 proti 5
Buffalo Sabres=GOAL|Boston Bruins ®=G_ALLOWED|--Jan Martínek - 9:1 !!--(Jakub Cimrman, Jan Vojáček)
Buffalo Sabres=PIM|Boston Bruins ®=POWERPLAY|vylúčenie hráča - Josef Prchal4 proti 5
Anaheim Ducks ®=GOAL|San Jose Sharks™=G_ALLOWED|Nahrávky spoza brány --Ľuboš Kilian - 1:0 !!--(Nino Orman, Jari Pakkanen)
Anaheim Ducks ®=PIM|San Jose Sharks™=POWERPLAY|Tréner zredukoval hru na 3 formácie
Anaheim Ducks ®=GOAL|San Jose Sharks™=G_ALLOWED|Streľba od modrej čiary --Leopold Smutný - 2:0 !!--(Aapeli Lintunen)
