22:07:07 11.02.2013|66.249.75.170|player_stats.php|&pos=points&name=Adam Nozdrovick--&id_player=28987614&s=27||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
22:06:58 11.02.2013|66.249.78.25|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
22:06:57 11.02.2013|157.55.32.189|stats.php|&s=34&pos=goalies&type=reg&team=van&sort=svs_perc&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:06:54 11.02.2013|142.4.201.197|reg.php|||Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1) )| - 
22:06:25 11.02.2013|157.55.32.189|stats.php|&s=34&pos=goalies&type=reg&team=van&sort=gms&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:05:57 11.02.2013|157.55.32.189|stats.php|&s=34&pos=goalies&type=reg&team=tbl&sort=shs&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:05:27 11.02.2013|157.55.36.45|stats.php|&s=34&pos=defs&type=reg&team=nas&sort=shs&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:05:10 11.02.2013|66.249.78.210|player_stats.php|&pos=points&name=Bruno Drabb&id_player=28306110&s=26||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
22:05:09 11.02.2013|66.249.78.197|player_stats.php|&pos=points&name=Zianon  Kaviarnia&id_player=29566796&s=30||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
22:04:57 11.02.2013|157.55.32.189|stats.php|&s=34&pos=goalies&type=reg&team=tbl&sort=gms&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:04:25 11.02.2013|157.55.32.189|stats.php|&s=34&pos=goalies&type=reg&team=stl&sort=svs_perc&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:03:57 11.02.2013|157.55.32.189|stats.php|&s=34&pos=goalies&type=reg&team=stl&sort=svs&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:03:48 11.02.2013|66.249.75.36|stats.php|&s=11&pos=goalies&type=po&team=nyr&sort=&page=&active=all||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
22:03:27 11.02.2013|157.55.36.45|stats.php|&s=34&pos=defs&type=reg&team=nas&sort=shg&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:02:58 11.02.2013|157.55.32.189|stats.php|&s=34&pos=goalies&type=reg&team=stl&sort=shs&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:02:28 11.02.2013|157.55.32.189|stats.php|&s=34&pos=goalies&type=reg&team=njd&sort=gaa&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:01:58 11.02.2013|157.55.32.189|stats.php|&s=34&pos=goalies&type=reg&team=nas&sort=shs&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:01:28 11.02.2013|157.55.32.189|stats.php|&s=34&pos=goalies&type=po&team=wpg&sort=mins&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
