06:10:05 13.02.2013|157.55.35.82|stats.php|&s=34&pos=points&type=reg&team=cgy&sort=shg&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
06:09:29 13.02.2013|157.55.32.189|stats.php|&s=34&pos=points&type=reg&team=van&sort=points&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
06:09:03 13.02.2013|157.55.32.189|stats.php|&s=34&pos=points&type=reg&team=van&sort=pim&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
06:08:27 13.02.2013|157.55.32.185|stats.php|&s=34&pos=points&type=reg&team=car&sort=perf&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
06:08:21 13.02.2013|66.249.76.197|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
06:08:01 13.02.2013|157.55.32.58|stats.php|&s=34&pos=all&type=po&team=car&sort=svs_perc&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
06:07:38 13.02.2013|178.154.165.251|lost_pass.php|||Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)| - 
06:07:29 13.02.2013|157.55.32.185|stats.php|&s=34&pos=points&type=reg&team=car&sort=gms&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
06:06:58 13.02.2013|157.56.93.201|stats.php|&s=34&pos=points&type=reg&team=cbj&sort=perf&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
06:06:33 13.02.2013|157.55.32.58|stats.php|&s=34&pos=points&type=reg&team=buf&sort=plus&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
