04:16:58 13.02.2013|157.55.32.113|player_stats.php|&pos=points&name=Leo-- --erm--k&id_player=&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:16:58 13.02.2013|157.55.32.113|player_stats.php|&pos=points&name=Ladislav Adamec&id_player=&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:16:58 13.02.2013|157.55.32.113|player_stats.php|&pos=points&name=Leon Popowicz&id_player=&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:16:57 13.02.2013|157.55.32.58|player_stats.php|&pos=goalies&name=Kasyan Ermak&id_player=&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:16:56 13.02.2013|157.55.33.47|stats.php|&s=11&pos=defs&type=po&team=ott&sort=plus&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:16:55 13.02.2013|157.55.32.185|stats.php|&s=03&pos=goalies&type=reg&team=pit&sort=mins&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:16:30 13.02.2013|157.55.35.82|stats.php|&s=23&pos=defs&type=reg&team=van&sort=shg&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:16:30 13.02.2013|157.55.32.58|player_stats.php|&pos=goalies&name=Glenn Clark&id_player=24711743&s=34||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:16:30 13.02.2013|157.55.32.113|player_stats.php|&pos=points&name=Kristi--n --ablat--ra&id_player=&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:16:28 13.02.2013|157.55.33.47|stats.php|&s=03&pos=points&type=reg&team=ott&sort=perf&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:16:27 13.02.2013|157.56.93.201|stats.php|&s=23&pos=goalies&type=reg&team=bos&sort=perf&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:16:27 13.02.2013|157.55.32.61|stats.php|&s=04&pos=goalies&type=po&team=phi&sort=svs_perc&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:16:26 13.02.2013|157.55.32.189|stats.php|&s=31&pos=all&type=reg&team=det&sort=svs_perc&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:16:26 13.02.2013|157.55.32.189|stats.php|&s=04&pos=goalies&type=po&team=det&sort=svs&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:16:25 13.02.2013|157.55.32.185|stats.php|&s=34&pos=goalies&type=reg&team=phx&sort=perf&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:16:25 13.02.2013|157.55.32.185|stats.php|&s=20&pos=points&type=po&team=det&sort=asists&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:16:10 13.02.2013|157.56.93.201|stats.php|&s=23&pos=defs&type=reg&team=van&sort=pim&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:16:01 13.02.2013|157.55.33.47|stats.php|&s=34&pos=goalies&type=reg&team=nyr&sort=gms&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:15:59 13.02.2013|157.55.35.82|player_stats.php|&pos=points&name=Milan Sabo&id_player=&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:15:58 13.02.2013|157.55.32.113|player_stats.php|&pos=points&name=Kevin Bourdon&id_player=18291106&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:15:58 13.02.2013|157.55.32.61|stats.php|&s=03&pos=goalies&type=reg&team=phi&sort=shs&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:15:58 13.02.2013|157.55.32.113|player_stats.php|&pos=points&name=Karol Iz--k&id_player=25428901&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:15:56 13.02.2013|157.55.32.189|stats.php|&s=23&pos=goalies&type=reg&team=lak&sort=perf&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:15:56 13.02.2013|157.55.32.189|stats.php|&s=23&pos=goalies&type=reg&team=van&sort=mins&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:15:55 13.02.2013|157.55.32.185|stats.php|&s=23&pos=points&type=reg&team=ana&sort=asists&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:15:55 13.02.2013|157.55.32.185|stats.php|&s=23&pos=goalies&type=reg&team=van&sort=svs_perc&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:15:37 13.02.2013|157.55.32.185|stats.php|&s=23&pos=goalies&type=reg&team=nas&sort=gaa&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:15:37 13.02.2013|157.55.32.185|stats.php|&s=23&pos=goalies&type=reg&team=edm&sort=svs&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:15:34 13.02.2013|157.55.32.189|stats.php|&s=23&pos=goalies&type=reg&team=edm&sort=gaa&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:15:34 13.02.2013|157.55.32.189|stats.php|&s=23&pos=goalies&type=reg&team=ana&sort=perf&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:15:29 13.02.2013|157.56.93.201|player_stats.php|&pos=points&name=Mojm--r Liga--&id_player=&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:15:28 13.02.2013|157.55.35.82|player_stats.php|&pos=points&name=Mikul---- Vici--n&id_player=&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:15:28 13.02.2013|157.55.32.113|stats.php|&s=10&pos=points&type=reg&team=pit&sort=points&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:15:28 13.02.2013|157.55.32.113|stats.php|&s=03&pos=points&type=reg&team=sjs&sort=asists&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
